epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1147.23,1.18364,5.18436,1.192,0.44993,0.07582,0.02895,0.02239,1.07718,3.35154,1.11292,5.2731e-05,5.2731e-05,5.2731e-05
2,1231.55,1.10529,3.49918,1.12234,0.49603,0.08676,0.05916,0.04664,1.05583,3.00632,1.08539,0.000103637,0.000103637,0.000103637
3,1314.68,1.06883,3.02612,1.09679,0.42358,0.12217,0.09343,0.07338,1.08524,2.82493,1.10821,0.000152445,0.000152445,0.000152445
4,1396.59,1.07923,2.79859,1.10596,0.36041,0.15535,0.09902,0.07694,1.0877,2.78938,1.10441,0.000149555,0.000149555,0.000149555
5,1479.53,1.04214,2.54083,1.07693,0.39784,0.16595,0.1147,0.09015,1.06181,2.7647,1.08474,0.000146407,0.000146407,0.000146407
6,1563.66,1.03314,2.34709,1.06529,0.49504,0.16404,0.13281,0.10448,1.07263,2.71598,1.0915,0.000143259,0.000143259,0.000143259
7,1645.81,1.01297,2.1772,1.05827,0.39661,0.1475,0.12938,0.10039,1.09978,2.70561,1.10681,0.000140111,0.000140111,0.000140111
8,1728.13,1.01869,2.07515,1.05225,0.46891,0.14271,0.1303,0.09743,1.07854,2.6806,1.08421,0.000136963,0.000136963,0.000136963
9,1810.6,0.98893,1.96381,1.04198,0.41713,0.14393,0.138,0.10762,1.11309,2.72994,1.09617,0.000133814,0.000133814,0.000133814
10,1893.22,0.98545,1.89611,1.03744,0.41403,0.15472,0.14627,0.11093,1.08482,2.77188,1.08938,0.000130666,0.000130666,0.000130666
11,1975.53,0.97227,1.7525,1.03155,0.36591,0.20923,0.14087,0.10884,1.09482,2.74939,1.09719,0.000127518,0.000127518,0.000127518
12,2058.32,0.95184,1.66643,1.01694,0.33758,0.16848,0.13332,0.10909,1.09101,2.79821,1.09404,0.00012437,0.00012437,0.00012437
13,2140.63,0.93394,1.59644,1.01342,0.43806,0.16965,0.15425,0.11754,1.03674,2.71886,1.0736,0.000121222,0.000121222,0.000121222
14,2221.7,0.93444,1.4949,1.0097,0.42199,0.164,0.14607,0.11597,1.03971,2.72755,1.07773,0.000118073,0.000118073,0.000118073
15,2305.06,0.91627,1.44881,1.00742,0.37128,0.1639,0.15967,0.11948,1.06045,2.77955,1.08353,0.000114925,0.000114925,0.000114925
16,2387.97,0.91361,1.38602,0.99756,0.45551,0.16921,0.15966,0.13278,1.03274,2.75049,1.07072,0.000111777,0.000111777,0.000111777
17,2470.4,0.87576,1.32878,0.98831,0.41837,0.1664,0.15677,0.12045,1.04414,2.77133,1.09024,0.000108629,0.000108629,0.000108629
18,2553.44,0.87901,1.26729,0.98282,0.32571,0.22385,0.17138,0.13438,1.03397,2.7932,1.08285,0.000105481,0.000105481,0.000105481
19,2636.24,0.88914,1.26087,0.98451,0.40043,0.17754,0.17437,0.13311,1.04147,2.83972,1.09001,0.000102332,0.000102332,0.000102332
20,2720.83,0.8806,1.21773,0.9862,0.38572,0.18972,0.16805,0.12955,1.04065,2.79691,1.07694,9.91842e-05,9.91842e-05,9.91842e-05
21,2804.86,0.86745,1.16499,0.98141,0.38455,0.20894,0.17581,0.13457,1.05589,2.83943,1.08361,9.6036e-05,9.6036e-05,9.6036e-05
22,2888.79,0.87374,1.13616,0.98113,0.44142,0.17927,0.1613,0.12518,1.05429,2.80615,1.09289,9.28878e-05,9.28878e-05,9.28878e-05
23,2971.14,0.85929,1.09095,0.97151,0.41888,0.19023,0.17141,0.13677,1.04687,2.86221,1.09536,8.97396e-05,8.97396e-05,8.97396e-05
24,3053.63,0.8487,1.05147,0.9756,0.38348,0.19594,0.16973,0.13292,1.01785,2.8695,1.07688,8.65914e-05,8.65914e-05,8.65914e-05
25,3137.96,0.84575,1.02606,0.96566,0.39222,0.1818,0.16911,0.13215,1.05321,2.94945,1.09838,8.34432e-05,8.34432e-05,8.34432e-05
26,3221.48,0.82689,0.99647,0.95727,0.3935,0.17785,0.15057,0.1204,1.04259,2.92547,1.08467,8.0295e-05,8.0295e-05,8.0295e-05
27,3304.9,0.82267,0.95859,0.9578,0.41021,0.17419,0.16946,0.13852,1.04202,2.94884,1.0929,7.71468e-05,7.71468e-05,7.71468e-05
28,3388.11,0.8085,0.95322,0.95209,0.433,0.18031,0.16762,0.13116,1.01847,2.92372,1.06292,7.39986e-05,7.39986e-05,7.39986e-05
29,3472.35,0.8154,0.92931,0.95481,0.38659,0.17689,0.17319,0.13649,1.0436,2.92427,1.0884,7.08504e-05,7.08504e-05,7.08504e-05
30,3556.61,0.81404,0.91597,0.9545,0.37929,0.17641,0.15955,0.1314,1.03364,2.97944,1.078,6.77022e-05,6.77022e-05,6.77022e-05
31,3640.42,0.80271,0.90162,0.94921,0.45158,0.16722,0.15888,0.12475,1.0177,2.99167,1.06458,6.4554e-05,6.4554e-05,6.4554e-05
32,3723.89,0.79521,0.8712,0.94242,0.31466,0.20198,0.15478,0.12267,1.01621,2.97137,1.07139,6.14058e-05,6.14058e-05,6.14058e-05
33,3808.01,0.7941,0.85432,0.93747,0.46965,0.17402,0.15998,0.12573,1.01614,2.9393,1.06304,5.82576e-05,5.82576e-05,5.82576e-05
34,3892.4,0.7984,0.84805,0.9415,0.31447,0.20092,0.16711,0.12679,1.01061,2.96052,1.07004,5.51094e-05,5.51094e-05,5.51094e-05
35,3976.54,0.79552,0.84581,0.93777,0.32307,0.2006,0.1692,0.12853,1.01161,2.97899,1.0694,5.19612e-05,5.19612e-05,5.19612e-05
36,4060.63,0.79956,0.82471,0.94406,0.34679,0.21275,0.17333,0.13206,1.00111,2.99284,1.05964,4.8813e-05,4.8813e-05,4.8813e-05
37,4154.88,0.7744,0.81529,0.93978,0.38771,0.1896,0.17158,0.12953,1.00798,2.97033,1.05381,4.56648e-05,4.56648e-05,4.56648e-05
38,4241.82,0.77382,0.77727,0.93109,0.3482,0.19656,0.16922,0.13529,1.00336,2.99424,1.05043,4.25166e-05,4.25166e-05,4.25166e-05
39,4326.58,0.76761,0.77743,0.93198,0.48777,0.16503,0.18088,0.14665,1.01738,2.95686,1.05839,3.93684e-05,3.93684e-05,3.93684e-05
40,4411.24,0.76583,0.77355,0.9329,0.44577,0.16689,0.17449,0.14022,1.01607,3.01014,1.06269,3.62202e-05,3.62202e-05,3.62202e-05
41,4489.89,0.77464,0.7183,0.92521,0.40406,0.19745,0.17729,0.1353,1.03982,2.96893,1.07544,3.3072e-05,3.3072e-05,3.3072e-05
42,4564.94,0.75939,0.66556,0.92368,0.30675,0.205,0.1695,0.12598,1.04881,2.98902,1.08895,2.99238e-05,2.99238e-05,2.99238e-05
43,4639.86,0.75295,0.65357,0.91822,0.43762,0.18142,0.17504,0.13221,1.03551,2.97763,1.07671,2.67756e-05,2.67756e-05,2.67756e-05
44,4717.65,0.74444,0.63861,0.9186,0.3817,0.20832,0.1764,0.13251,1.04818,2.99069,1.09156,2.36274e-05,2.36274e-05,2.36274e-05
45,4793.09,0.73399,0.61827,0.91152,0.39243,0.18171,0.18063,0.13382,1.03978,3.02509,1.07345,2.04792e-05,2.04792e-05,2.04792e-05
46,4868.32,0.73558,0.6129,0.91234,0.44618,0.17424,0.1785,0.13653,1.04955,3.00238,1.09184,1.7331e-05,1.7331e-05,1.7331e-05
47,4944.09,0.73239,0.60346,0.90743,0.38326,0.16868,0.17501,0.12999,1.04634,3.02999,1.08758,1.41828e-05,1.41828e-05,1.41828e-05
48,5020.08,0.72406,0.58137,0.90233,0.40351,0.17026,0.175,0.13158,1.04082,3.01592,1.09256,1.10346e-05,1.10346e-05,1.10346e-05
49,5094.91,0.72664,0.59045,0.9043,0.35306,0.1935,0.17837,0.13343,1.04123,2.99984,1.08503,7.8864e-06,7.8864e-06,7.8864e-06
50,5170.26,0.72552,0.58448,0.90582,0.41099,0.17032,0.17955,0.13451,1.04818,3.03209,1.08936,4.7382e-06,4.7382e-06,4.7382e-06
