epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.883,2.734,3.38191,2.61512,0.08609,0.13116,0.03036,0.0112,2.56512,3.36153,2.51019,0.0700191,0.00333121,0.00333121
2,518.937,2.50708,3.11917,2.49776,0.26695,0.10848,0.08995,0.03691,2.45787,3.4029,2.48951,0.0399751,0.00662056,0.00662056
3,769.795,2.33931,2.94637,2.35197,0.24759,0.16963,0.1244,0.05888,2.31194,2.72433,2.3043,0.0098871,0.00986591,0.00986591
4,1019.41,2.23919,2.80767,2.2271,0.24301,0.17653,0.11178,0.05507,2.24812,2.63751,2.22738,0.009802,0.009802,0.009802
5,1268.3,2.12822,2.68987,2.10439,0.21562,0.16864,0.09274,0.04532,2.0786,2.67582,2.05855,0.009736,0.009736,0.009736
6,1518.21,2.07342,2.64124,2.06011,0.41908,0.20418,0.17726,0.09393,2.03283,2.67126,2.04349,0.00967,0.00967,0.00967
7,1769.87,2.01126,2.53674,1.9857,0.40618,0.21499,0.20263,0.11146,2.00676,2.30278,1.95674,0.009604,0.009604,0.009604
8,2022.53,1.95815,2.46142,1.9191,0.39007,0.22485,0.20054,0.10465,1.98861,2.28996,1.92133,0.009538,0.009538,0.009538
9,2298.56,1.95895,2.4461,1.92605,0.40031,0.23964,0.21593,0.11162,1.98948,2.30218,1.98558,0.009472,0.009472,0.009472
10,2575.29,1.94539,2.40267,1.90979,0.41019,0.2288,0.21634,0.12527,1.86617,2.21676,1.8764,0.009406,0.009406,0.009406
11,2851.69,1.87904,2.32311,1.87883,0.3639,0.25345,0.22121,0.12032,1.93179,2.22777,1.87308,0.00934,0.00934,0.00934
12,3127.75,1.88874,2.34552,1.85438,0.43732,0.23373,0.23578,0.124,1.95788,2.19265,1.88932,0.009274,0.009274,0.009274
13,3403.63,1.86965,2.31461,1.84675,0.42974,0.25937,0.25175,0.14326,1.82272,2.04832,1.81224,0.009208,0.009208,0.009208
14,3670.13,1.82931,2.24455,1.81395,0.44681,0.27022,0.25388,0.14133,1.84923,1.99116,1.81066,0.009142,0.009142,0.009142
15,3946.91,1.8093,2.25137,1.79899,0.39432,0.2574,0.24248,0.13942,1.79277,2.04388,1.75919,0.009076,0.009076,0.009076
16,4223.85,1.82424,2.24163,1.79384,0.43524,0.27022,0.26145,0.14951,1.81453,2.0116,1.78458,0.00901,0.00901,0.00901
17,4499.44,1.80903,2.18151,1.76934,0.49711,0.26613,0.273,0.15703,1.78011,2.06849,1.73991,0.008944,0.008944,0.008944
18,4775.65,1.75531,2.14195,1.74091,0.47699,0.28895,0.26947,0.16041,1.71964,1.91998,1.70901,0.008878,0.008878,0.008878
19,5053.19,1.79684,2.14623,1.76591,0.46176,0.27666,0.27114,0.154,1.79432,1.9797,1.74363,0.008812,0.008812,0.008812
20,5326.19,1.7476,2.11826,1.71991,0.44414,0.26627,0.25339,0.14405,1.78468,1.9951,1.72436,0.008746,0.008746,0.008746
21,5600.94,1.74496,2.12143,1.73092,0.48257,0.28501,0.27885,0.16492,1.70484,1.945,1.70435,0.00868,0.00868,0.00868
