epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.399,1.32927,1.88301,1.29493,0.03165,0.20611,0.01724,0.00895,1.65942,16.7431,1.75771,0.000663283,0.000663283,0.000663283
2,317.239,1.59268,1.93893,1.48062,0.39137,0.21795,0.1923,0.11259,1.69235,3.34662,1.64501,0.00132117,0.00132117,0.00132117
3,461.773,1.56923,1.90627,1.46002,0.38804,0.25247,0.22447,0.13597,1.69512,3.34572,1.56808,0.00197026,0.00197026,0.00197026
4,593.845,1.52105,1.83893,1.45097,0.54076,0.32347,0.33265,0.20327,1.51516,1.77847,1.45694,0.0019604,0.0019604,0.0019604
5,725.867,1.4662,1.71953,1.38937,0.48504,0.32643,0.32016,0.2022,1.45987,1.85343,1.40069,0.0019472,0.0019472,0.0019472
6,857.183,1.42681,1.66269,1.37034,0.54756,0.34615,0.36164,0.2241,1.41426,1.6896,1.3744,0.001934,0.001934,0.001934
7,988.66,1.36877,1.60853,1.34342,0.59441,0.32742,0.35353,0.2268,1.4675,1.80068,1.42616,0.0019208,0.0019208,0.0019208
8,1120.22,1.34801,1.58129,1.32425,0.55459,0.35503,0.37971,0.24283,1.35256,1.57971,1.33533,0.0019076,0.0019076,0.0019076
9,1251.85,1.29911,1.51586,1.29725,0.53551,0.35207,0.37085,0.2377,1.34614,1.63991,1.33559,0.0018944,0.0018944,0.0018944
10,1383.63,1.29492,1.47219,1.29446,0.49032,0.38955,0.37804,0.24973,1.27737,1.70938,1.29486,0.0018812,0.0018812,0.0018812
11,1515.43,1.29965,1.46758,1.30386,0.54191,0.41815,0.42815,0.28423,1.25453,1.40081,1.27232,0.001868,0.001868,0.001868
12,1647.15,1.25851,1.43413,1.27611,0.61627,0.3925,0.42117,0.28804,1.22159,1.39586,1.24885,0.0018548,0.0018548,0.0018548
13,1778.98,1.24771,1.41667,1.26352,0.56472,0.39744,0.42353,0.28852,1.21932,1.37588,1.25645,0.0018416,0.0018416,0.0018416
14,1910.61,1.26396,1.39686,1.2714,0.65732,0.37771,0.43891,0.29488,1.23868,1.35455,1.25203,0.0018284,0.0018284,0.0018284
15,2042.42,1.23153,1.36992,1.2495,0.60905,0.36104,0.40758,0.27948,1.22187,1.3668,1.26814,0.0018152,0.0018152,0.0018152
16,2174.11,1.22768,1.36711,1.23921,0.60618,0.3856,0.43111,0.29936,1.17085,1.36482,1.21487,0.001802,0.001802,0.001802
17,2306.2,1.21418,1.33472,1.24626,0.58195,0.38659,0.42714,0.28512,1.227,1.44051,1.25708,0.0017888,0.0017888,0.0017888
18,2438.03,1.19118,1.33772,1.23611,0.64091,0.38462,0.44569,0.30375,1.15746,1.34382,1.22112,0.0017756,0.0017756,0.0017756
19,2569.62,1.19456,1.3293,1.23318,0.637,0.39457,0.44081,0.3087,1.12699,1.33669,1.2054,0.0017624,0.0017624,0.0017624
